id,open time,open,high,low,close,volume,close time,quote asset volume,number of trades,taker buy base asset volume,taker buy quote asset volume,ignore
19,1635730500000,61495.33000000,61531.91000000,61449.28000000,61453.52000000,69.28112000,1635730799999,4259513.52327180,2459,27.64610000,1699675.09669510,0
20,1635730800000,61453.52000000,61520.20000000,61344.65000000,61372.35000000,113.21830000,1635731099999,6954984.77805400,3701,48.31777000,2967413.36329720,0
21,1635731100000,61372.35000000,61407.55000000,61332.28000000,61380.26000000,66.48816000,1635731399999,4080452.50299880,2512,31.27900000,1919608.55227970,0
22,1635731400000,61380.25000000,61434.78000000,61343.87000000,61389.87000000,62.04006000,1635731699999,3808924.05110620,2614,28.91994000,1775530.21153760,0
23,1635731700000,61389.87000000,61421.74000000,61193.10000000,61293.26000000,152.30115000,1635731999999,9338631.05927410,4555,56.79446000,3483237.39977160,0
24,1635732000000,61293.27000000,61350.99000000,61093.81000000,61350.99000000,158.51157000,1635732299999,9708239.45737560,5024,74.78764000,4581068.24717300,0
25,1635732300000,61350.98000000,61407.64000000,61310.49000000,61311.87000000,64.57639000,1635732599999,3963090.46007910,2694,30.61171000,1878784.07989590,0
26,1635732600000,61311.87000000,61342.20000000,61205.78000000,61205.79000000,58.47014000,1635732899999,3584303.87762480,2633,25.87246000,1586151.05334070,0
27,1635732900000,61205.79000000,61278.18000000,60241.72000000,60537.45000000,815.85973000,1635733199999,49468730.16292230,23039,339.43563000,20570942.16141680,0
28,1635733200000,60537.45000000,60678.49000000,60088.00000000,60225.00000000,896.53001000,1635733499999,54044441.92023810,19941,358.80758000,21631046.91031140,0
29,1635733500000,60222.87000000,60489.66000000,60007.33000000,60226.19000000,596.15668000,1635733799999,35902140.82856610,14001,324.00739000,19519148.74827190,0
30,1635733800000,60226.19000000,60596.60000000,60000.00000000,60335.94000000,594.67303000,1635734099999,35823137.61901120,13090,285.42622000,17197188.59433750,0
31,1635734100000,60326.69000000,60456.55000000,60270.01000000,60453.80000000,186.48933000,1635734399999,11259666.59283170,4658,110.39534000,6665039.77767750,0
32,1635734400000,60453.80000000,60628.70000000,60320.47000000,60320.48000000,226.83226000,1635734699999,13723173.98908150,5388,99.25455000,6003347.96120600,0
33,1635734700000,60320.48000000,60446.58000000,60300.22000000,60390.16000000,125.38296000,1635734999999,7570818.72805800,3674,65.08826000,3930044.28560840,0
34,1635735000000,60390.17000000,60514.00000000,60373.01000000,60500.01000000,135.35114000,1635735299999,8186131.47238920,2992,54.06980000,3269452.67418590,0
35,1635735300000,60500.00000000,60624.71000000,60481.02000000,60547.00000000,105.27789000,1635735599999,6373018.28174640,3051,62.64140000,3792035.02037830,0
36,1635735600000,60547.01000000,60547.03000000,60368.31000000,60468.35000000,182.68459000,1635735899999,11046762.42065720,4234,58.12423000,3515138.61142090,0
37,1635735900000,60468.36000000,60623.00000000,60400.95000000,60442.73000000,145.32176000,1635736199999,8796878.21345870,3930,82.93457000,5020631.41731520,0
38,1635736200000,60442.73000000,60459.13000000,60302.71000000,60322.07000000,182.02182000,1635736499999,10987628.96675360,4393,91.10983000,5499536.85831480,0
39,1635736500000,60321.57000000,60408.16000000,60239.46000000,60351.99000000,139.72884000,1635736799999,8428868.17952860,4159,68.67911000,4143046.40161280,0
40,1635736800000,60351.99000000,60404.95000000,60271.11000000,60294.00000000,66.49549000,1635737099999,4011483.78061610,2803,35.35701000,2132913.69410490,0
41,1635737100000,60294.00000000,60386.48000000,60240.63000000,60380.86000000,66.01624000,1635737399999,3981162.84678280,2409,41.24075000,2487165.63152700,0
42,1635737400000,60380.85000000,60423.15000000,60280.00000000,60293.01000000,73.66010000,1635737699999,4446155.53785770,2714,28.36460000,1712100.43466440,0
43,1635737700000,60293.00000000,60427.00000000,60272.72000000,60301.40000000,66.04517000,1635737999999,3984963.20551870,2402,28.45545000,1716923.34493330,0
44,1635738000000,60301.40000000,60371.07000000,60243.75000000,60293.54000000,76.05997000,1635738299999,4586880.92898610,2901,34.74281000,2095277.50829400,0
45,1635738300000,60293.54000000,60315.26000000,60180.01000000,60209.70000000,98.57776000,1635738599999,5938679.94273830,3778,50.86370000,3064321.29202390,0
46,1635738600000,60209.70000000,60273.80000000,59950.00000000,60138.35000000,484.69183000,1635738899999,29115933.86684240,9981,151.89372000,9126334.89094830,0
47,1635738900000,60138.35000000,60219.87000000,59700.00000000,59922.98000000,612.78445000,1635739199999,36717222.57487150,14720,267.45939000,16028890.97933650,0
48,1635739200000,59915.12000000,59927.84000000,59405.00000000,59733.11000000,856.93388000,1635739499999,51132391.02048040,24248,360.36830000,21506996.50279690,0
